SystemCodeNumber,Timestamp,price,diff,time,Occupancy,Capacity,Hour,Minute,TimeSlot,occupancyRate,EMA_occupancy
BHMEURBRD01,2016-10-07 13:30:00,10.88,1,1751787993992,363,470,13,30,0.7941176470588235,0.7723404255319148,0.7723404255319148
Shopping,2016-12-10 07:59:00,10.44,1,1751787993992,320,1920,7,59,0.4696078431372549,0.16666666666666666,0.16666666666666666
Others-CCCPS202,2016-12-06 14:29:00,10.75,1,1751787993992,1292,2937,14,29,0.8519607843137255,0.43990466462376576,0.43990466462376576
Others-CCCPS202,2016-11-05 08:00:00,10.95,1,1751787993992,364,2937,8,0,0.47058823529411764,0.12393598910452842,0.2819203268641471
Others-CCCPS135a,2016-12-08 11:59:00,10.88,1,1751787993992,3456,3883,11,59,0.7049019607843137,0.8900334792686068,0.8900334792686068
BHMNCPNST01,2016-11-19 15:31:00,10.87,1,1751787993992,411,485,15,31,0.9127450980392158,0.8474226804123711,0.8474226804123711
Shopping,2016-12-07 15:59:00,11.15,1,1751787993992,1285,1920,15,59,0.9401960784313725,0.6692708333333334,0.41796875
Broad Street,2016-11-26 10:01:00,10.54,1,1751787993992,128,690,10,1,0.5892156862745098,0.1855072463768116,0.1855072463768116
Others-CCCPS119a,2016-12-17 15:57:00,10.77,1,1751787993992,1277,2803,15,57,0.9382352941176471,0.4555833036032822,0.4555833036032822
Others-CCCPS8,2016-12-05 10:03:00,10.74,1,1751787993992,493,1322,10,3,0.5911764705882353,0.3729198184568835,0.3729198184568835
Others-CCCPS119a,2016-12-12 13:29:00,11.34,1,1751787993992,614,2803,13,29,0.7931372549019607,0.21905101676774885,0.3373171601855155
BHMBCCTHL01,2016-10-17 09:27:00,10.74,1,1751787993992,162,387,9,27,0.5558823529411764,0.4186046511627907,0.4186046511627907
Others-CCCPS98,2016-11-13 15:00:00,10.64,1,1751787993992,677,3103,15,0,0.8823529411764706,0.21817595874959717,0.21817595874959717
BHMMBMMBX01,2016-12-07 10:59:00,10.86,1,1751787993992,535,687,10,59,0.646078431372549,0.7787481804949054,0.7787481804949054
Broad Street,2016-10-19 09:58:00,11.24,1,1751787993992,603,690,9,58,0.5862745098039216,0.8739130434782608,0.5297101449275362
Shopping,2016-11-06 10:00:00,11.5,1,1751787993992,354,1920,10,0,0.5882352941176471,0.184375,0.301171875
Others-CCCPS8,2016-12-18 08:30:00,11.19,1,1751787993992,341,1322,8,30,0.5,0.2579425113464448,0.3154311649016641
