SystemCodeNumber,Timestamp,price,diff,time
BHMEURBRD01,2016-10-07 13:30:00,10.88,1,1751787993992
Shopping,2016-12-10 07:59:00,10.44,1,1751787993992
Others-CCCPS202,2016-12-06 14:29:00,10.75,1,1751787993992
Others-CCCPS202,2016-11-05 08:00:00,10.95,1,1751787993992
Others-CCCPS135a,2016-12-08 11:59:00,10.88,1,1751787993992
BHMNCPNST01,2016-11-19 15:31:00,10.87,1,1751787993992
Shopping,2016-12-07 15:59:00,11.15,1,1751787993992
Broad Street,2016-11-26 10:01:00,10.54,1,1751787993992
Others-CCCPS119a,2016-12-17 15:57:00,10.77,1,1751787993992
Others-CCCPS8,2016-12-05 10:03:00,10.74,1,1751787993992
Others-CCCPS119a,2016-12-12 13:29:00,11.34,1,1751787993992
BHMBCCTHL01,2016-10-17 09:27:00,10.74,1,1751787993992
Others-CCCPS98,2016-11-13 15:00:00,10.64,1,1751787993992
BHMMBMMBX01,2016-12-07 10:59:00,10.86,1,1751787993992
Broad Street,2016-10-19 09:58:00,11.24,1,1751787993992
Shopping,2016-11-06 10:00:00,11.5,1,1751787993992
Others-CCCPS8,2016-12-18 08:30:00,11.19,1,1751787993992
Broad Street,2016-12-14 10:02:00,11.75,1,1751787993992
BHMEURBRD01,2016-11-17 11:31:00,11.49,1,1751787993992
BHMBCCMKT01,2016-10-31 10:26:00,10.54,1,1751787993992
Others-CCCPS119a,2016-12-16 08:30:00,11.4,1,1751787993992
Others-CCCPS98,2016-11-10 12:00:00,11.17,1,1751787993992
Shopping,2016-12-10 08:29:00,11.57,1,1751787993992
Others-CCCPS98,2016-12-05 08:02:00,11.42,1,1751787993992
Others-CCCPS8,2016-10-06 07:57:00,11.43,1,1751787993992
Others-CCCPS105a,2016-12-02 09:01:00,10.77,1,1751787993992
Shopping,2016-10-12 13:34:00,11.98,1,1751787993992
BHMNCPNST01,2016-11-11 11:00:00,11.44,1,1751787993992
Others-CCCPS105a,2016-11-21 13:31:00,11.42,1,1751787993992
BHMNCPHST01,2016-11-14 09:27:00,10.75,1,1751787993992
BHMEURBRD01,2016-10-25 16:29:00,11.9,1,1751787993992
Others-CCCPS98,2016-11-28 16:28:00,11.61,1,1751787993992
BHMNCPNST01,2016-12-11 16:25:00,11.85,1,1751787993992
Broad Street,2016-12-17 12:00:00,12.05,1,1751787993992
Others-CCCPS119a,2016-12-01 12:58:00,11.79,1,1751787993992
BHMMBMMBX01,2016-11-28 11:01:00,11.44,1,1751787993992
Others-CCCPS105a,2016-10-05 16:04:00,11.82,1,1751787993992
BHMEURBRD01,2016-12-08 16:32:00,12.17,1,1751787993992
BHMMBMMBX01,2016-10-15 14:27:00,11.85,1,1751787993992
Others-CCCPS8,2016-10-11 13:31:00,11.87,1,1751787993992
BHMEURBRD01,2016-10-11 10:30:00,12.38,1,1751787993992
Others-CCCPS105a,2016-11-21 08:31:00,11.94,1,1751787993992
Others-CCCPS135a,2016-12-18 12:56:00,11.5,1,1751787993992
Others-CCCPS98,2016-10-08 07:57:00,11.69,1,1751787993992
Others-CCCPS105a,2016-12-09 13:29:00,12.24,1,1751787993992
BHMBCCMKT01,2016-10-16 15:31:00,11.11,1,1751787993992
Others-CCCPS135a,2016-10-05 12:57:00,11.94,1,1751787993992
Others-CCCPS105a,2016-10-26 09:26:00,12.35,1,1751787993992
BHMMBMMBX01,2016-11-28 14:32:00,12.08,1,1751787993992
Shopping,2016-11-14 11:00:00,12.22,1,1751787993992
Others-CCCPS202,2016-10-12 15:01:00,11.42,1,1751787993992
Shopping,2016-10-30 13:59:00,12.29,1,1751787993992
Others-CCCPS202,2016-12-09 08:55:00,11.62,1,1751787993992
BHMNCPHST01,2016-12-15 09:30:00,11.29,1,1751787993992
Others-CCCPS119a,2016-11-19 16:31:00,11.85,1,1751787993992
Broad Street,2016-10-11 08:30:00,12.16,1,1751787993992
BHMNCPNST01,2016-11-19 13:31:00,12.13,1,1751787993992
Others-CCCPS135a,2016-10-05 12:30:00,12.25,1,1751787993992
Broad Street,2016-12-01 09:58:00,12.39,1,1751787993992
Others-CCCPS8,2016-11-06 09:33:00,11.99,1,1751787993992
BHMMBMMBX01,2016-11-08 13:00:00,12.35,1,1751787993992
Others-CCCPS119a,2016-11-27 15:01:00,12.05,1,1751787993992
Others-CCCPS8,2016-10-22 08:26:00,11.98,1,1751787993992
Others-CCCPS98,2016-10-10 12:30:00,12.02,1,1751787993992
Shopping,2016-12-01 13:58:00,12.47,1,1751787993992
Others-CCCPS8,2016-12-01 09:25:00,12.13,1,1751787993992
BHMEURBRD01,2016-10-23 13:26:00,12.51,1,1751787993992
Others-CCCPS119a,2016-11-18 08:01:00,11.88,1,1751787993992
BHMBCCTHL01,2016-10-04 12:29:00,11.41,1,1751787993992
Others-CCCPS119a,2016-11-05 15:26:00,11.81,1,1751787993992
Others-CCCPS202,2016-10-06 13:57:00,11.89,1,1751787993992
BHMNCPNST01,2016-10-13 11:57:00,12.33,1,1751787993992
Broad Street,2016-11-19 13:04:00,12.49,1,1751787993992
BHMBCCMKT01,2016-10-19 15:59:00,11.37,1,1751787993992
BHMNCPHST01,2016-11-07 10:26:00,11.71,1,1751787993992
Others-CCCPS8,2016-12-08 15:26:00,12.32,1,1751787993992
Others-CCCPS8,2016-11-09 13:00:00,12.46,1,1751787993992
Shopping,2016-11-07 16:33:00,12.52,1,1751787993992
Others-CCCPS8,2016-11-28 11:32:00,12.53,1,1751787993992
Broad Street,2016-11-27 12:01:00,12.57,1,1751787993992
BHMBCCMKT01,2016-12-02 15:58:00,11.54,1,1751787993992
BHMNCPHST01,2016-10-11 10:57:00,11.99,1,1751787993992
Others-CCCPS98,2016-10-10 10:57:00,12.08,1,1751787993992
Broad Street,2016-12-02 13:25:00,12.69,1,1751787993992
Others-CCCPS105a,2016-11-22 13:57:00,12.48,1,1751787993992
BHMNCPNST01,2016-12-08 11:59:00,12.48,1,1751787993992
Others-CCCPS98,2016-10-08 16:30:00,12.19,1,1751787993992
Shopping,2016-10-11 16:01:00,12.59,1,1751787993992
BHMBCCMKT01,2016-11-16 11:27:00,11.66,1,1751787993992
BHMMBMMBX01,2016-12-19 15:29:00,12.51,1,1751787993992
Shopping,2016-11-06 09:33:00,12.49,1,1751787993992
BHMBCCMKT01,2016-10-26 09:59:00,11.72,1,1751787993992
Shopping,2016-12-08 10:32:00,12.58,1,1751787993992
Others-CCCPS105a,2016-11-22 14:31:00,12.57,1,1751787993992
Broad Street,2016-11-18 13:01:00,12.77,1,1751787993992
BHMNCPNST01,2016-11-20 13:27:00,12.61,1,1751787993992
Others-CCCPS119a,2016-11-13 12:27:00,12.1,1,1751787993992
Others-CCCPS8,2016-10-27 15:59:00,12.58,1,1751787993992
BHMBCCTHL01,2016-11-30 14:28:00,11.87,1,1751787993992
BHMEURBRD01,2016-11-15 10:30:00,12.62,1,1751787993992
BHMEURBRD01,2016-12-08 08:59:00,12.63,1,1751787993992
BHMMBMMBX01,2016-11-20 16:01:00,12.62,1,1751787993992
BHMMBMMBX01,2016-11-16 14:00:00,12.7,1,1751787993992
Shopping,2016-10-11 10:30:00,12.62,1,1751787993992
BHMBCCMKT01,2016-10-10 14:03:00,11.98,1,1751787993992
Others-CCCPS105a,2016-10-04 13:02:00,12.68,1,1751787993992
Others-CCCPS8,2016-10-07 15:30:00,12.59,1,1751787993992
Others-CCCPS105a,2016-10-10 10:30:00,12.66,1,1751787993992
Others-CCCPS8,2016-10-11 10:57:00,12.59,1,1751787993992
BHMNCPNST01,2016-10-22 11:32:00,12.63,1,1751787993992
Others-CCCPS135a,2016-10-05 12:04:00,12.47,1,1751787993992
Others-CCCPS202,2016-11-14 09:00:00,11.95,1,1751787993992
Others-CCCPS135a,2016-10-29 12:59:00,12.57,1,1751787993992
Others-CCCPS135a,2016-11-23 12:31:00,12.7,1,1751787993992
Broad Street,2016-11-11 09:00:00,12.75,1,1751787993992
Others-CCCPS8,2016-10-28 14:29:00,12.63,1,1751787993992
Others-CCCPS8,2016-12-06 11:02:00,12.64,1,1751787993992
Shopping,2016-10-09 11:57:00,12.55,1,1751787993992
BHMEURBRD01,2016-11-14 08:00:00,12.46,1,1751787993992
BHMBCCTHL01,2016-11-15 11:57:00,12.18,1,1751787993992
BHMNCPHST01,2016-10-29 11:25:00,12.19,1,1751787993992
Shopping,2016-11-23 14:30:00,12.64,1,1751787993992
Others-CCCPS8,2016-12-15 15:00:00,12.68,1,1751787993992
Shopping,2016-12-15 10:30:00,12.68,1,1751787993992
Others-CCCPS98,2016-11-26 14:01:00,12.28,1,1751787993992
BHMNCPNST01,2016-12-01 16:25:00,12.68,1,1751787993992
