ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,Timestamp,VehicleTypeEncoded,TrafficEncoded
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,2016-10-04 07:59:00,2,1
5248,BHMNCPHST01,1200,26.14001386,91.73099967,237,bike,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1,1
3936,BHMMBMMBX01,687,20.0000347,78.00000286,264,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,2,1
6560,BHMNCPNST01,485,26.14004753,91.73097233,249,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,2,1
17056,Shopping,1920,26.15050395,91.73353109,614,cycle,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,0,1
2624,BHMEURBRD01,470,26.14901995,91.7395035,117,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,2,1
7872,Broad Street,690,26.13795775,91.74099445,178,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,2,1
14432,Others-CCCPS8,1322,26.14754886,91.72799519,445,bike,average,3,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1,0
9184,Others-CCCPS105a,2009,26.14747299,91.72804914,709,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,2,1
10496,Others-CCCPS119a,2803,26.14754061,91.72797041,195,car,low,1,0,04-10-2016,07:59:00,2016-10-04 07:59:00,2,1
1312,BHMBCCTHL01,387,26.14449459,91.73620513,120,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,2,1
11808,Others-CCCPS135a,3883,26.14749943,91.72800489,1081,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,2,1
13120,Others-CCCPS202,2937,26.14749053,91.72799688,547,bike,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1,1
15744,Others-CCCPS98,3103,26.14749998,91.72797778,588,car,average,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,2,0
14433,Others-CCCPS8,1322,26.14754886,91.72799519,478,truck,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,3,1
6561,BHMNCPNST01,485,26.14004753,91.73097233,267,truck,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,3,1
9185,Others-CCCPS105a,2009,26.14747299,91.72804914,780,car,average,3,0,04-10-2016,08:25:00,2016-10-04 08:25:00,2,0
13121,Others-CCCPS202,2937,26.14749053,91.72799688,665,car,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,2,1
11809,Others-CCCPS135a,3883,26.14749943,91.72800489,1467,bike,low,3,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1,1
1313,BHMBCCTHL01,387,26.14449459,91.73620513,129,car,average,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,2,0
3937,BHMMBMMBX01,687,20.0000347,78.00000286,302,car,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,2,1
2625,BHMEURBRD01,470,26.14901995,91.7395035,174,bike,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1,1
15745,Others-CCCPS98,3103,26.14749998,91.72797778,678,bike,average,3,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1,0
7873,Broad Street,690,26.13795775,91.74099445,269,car,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,2,1
10497,Others-CCCPS119a,2803,26.14754061,91.72797041,238,car,average,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,2,0
17057,Shopping,1920,26.15050395,91.73353109,761,car,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,2,1
5249,BHMNCPHST01,1200,26.14001386,91.73099967,315,bike,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1,1
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,2,1
14434,Others-CCCPS8,1322,26.14754886,91.72799519,518,car,average,3,0,04-10-2016,08:59:00,2016-10-04 08:59:00,2,0
1314,BHMBCCTHL01,387,26.14449459,91.73620513,155,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,2,1
10498,Others-CCCPS119a,2803,26.14754061,91.72797041,323,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,2,1
17058,Shopping,1920,26.15050395,91.73353109,958,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,2,1
11810,Others-CCCPS135a,3883,26.14749943,91.72800489,2007,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,2,1
7874,Broad Street,690,26.13795775,91.74099445,415,bike,low,3,0,04-10-2016,08:59:00,2016-10-04 08:59:00,1,1
6562,BHMNCPNST01,485,26.14004753,91.73097233,278,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,2,1
2626,BHMEURBRD01,470,26.14901995,91.7395035,269,truck,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,3,1
3938,BHMMBMMBX01,687,20.0000347,78.00000286,346,truck,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,3,1
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,2,1
15746,Others-CCCPS98,3103,26.14749998,91.72797778,792,car,low,3,0,04-10-2016,08:59:00,2016-10-04 08:59:00,2,1
5250,BHMNCPHST01,1200,26.14001386,91.73099967,441,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,2,1
13122,Others-CCCPS202,2937,26.14749053,91.72799688,848,bike,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,1,1
9186,Others-CCCPS105a,2009,26.14747299,91.72804914,864,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,2,1
2627,BHMEURBRD01,470,26.14901995,91.7395035,351,cycle,low,3,0,04-10-2016,09:32:00,2016-10-04 09:32:00,0,1
1315,BHMBCCTHL01,387,26.14449459,91.73620513,204,cycle,low,2,0,04-10-2016,09:32:00,2016-10-04 09:32:00,0,1
13123,Others-CCCPS202,2937,26.14749053,91.72799688,1036,car,low,3,0,04-10-2016,09:32:00,2016-10-04 09:32:00,2,1
14435,Others-CCCPS8,1322,26.14754886,91.72799519,590,cycle,low,3,0,04-10-2016,09:32:00,2016-10-04 09:32:00,0,1
7875,Broad Street,690,26.13795775,91.74099445,530,car,low,2,0,04-10-2016,09:32:00,2016-10-04 09:32:00,2,1
15747,Others-CCCPS98,3103,26.14749998,91.72797778,932,car,low,3,0,04-10-2016,09:32:00,2016-10-04 09:32:00,2,1
10499,Others-CCCPS119a,2803,26.14754061,91.72797041,420,bike,low,2,0,04-10-2016,09:32:00,2016-10-04 09:32:00,1,1
9187,Others-CCCPS105a,2009,26.14747299,91.72804914,1004,car,low,3,0,04-10-2016,09:32:00,2016-10-04 09:32:00,2,1
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,04-10-2016,09:32:00,2016-10-04 09:32:00,2,1
17059,Shopping,1920,26.15050395,91.73353109,1121,cycle,low,3,0,04-10-2016,09:32:00,2016-10-04 09:32:00,0,1
11811,Others-CCCPS135a,3883,26.14749943,91.72800489,2502,bike,low,3,0,04-10-2016,09:32:00,2016-10-04 09:32:00,1,1
3939,BHMMBMMBX01,687,20.0000347,78.00000286,414,truck,low,2,0,04-10-2016,09:32:00,2016-10-04 09:32:00,3,1
5251,BHMNCPHST01,1200,26.14001386,91.73099967,552,bike,low,2,0,04-10-2016,09:32:00,2016-10-04 09:32:00,1,1
6563,BHMNCPNST01,485,26.14004753,91.73097233,302,truck,low,3,0,04-10-2016,09:32:00,2016-10-04 09:32:00,3,1
5252,BHMNCPHST01,1200,26.14001386,91.73099967,638,car,low,2,0,04-10-2016,09:59:00,2016-10-04 09:59:00,2,1
17060,Shopping,1920,26.15050395,91.73353109,1254,truck,low,3,0,04-10-2016,09:59:00,2016-10-04 09:59:00,3,1
14436,Others-CCCPS8,1322,26.14754886,91.72799519,657,truck,low,3,0,04-10-2016,09:59:00,2016-10-04 09:59:00,3,1
2628,BHMEURBRD01,470,26.14901995,91.7395035,397,bike,low,2,0,04-10-2016,09:59:00,2016-10-04 09:59:00,1,1
15748,Others-CCCPS98,3103,26.14749998,91.72797778,1052,cycle,low,3,0,04-10-2016,09:59:00,2016-10-04 09:59:00,0,1
10500,Others-CCCPS119a,2803,26.14754061,91.72797041,476,car,low,3,0,04-10-2016,09:59:00,2016-10-04 09:59:00,2,1
1316,BHMBCCTHL01,387,26.14449459,91.73620513,236,car,low,2,0,04-10-2016,09:59:00,2016-10-04 09:59:00,2,1
9188,Others-CCCPS105a,2009,26.14747299,91.72804914,1142,car,low,3,0,04-10-2016,09:59:00,2016-10-04 09:59:00,2,1
13124,Others-CCCPS202,2937,26.14749053,91.72799688,1163,car,low,3,0,04-10-2016,09:59:00,2016-10-04 09:59:00,2,1
7876,Broad Street,690,26.13795775,91.74099445,600,car,low,2,0,04-10-2016,09:59:00,2016-10-04 09:59:00,2,1
6564,BHMNCPNST01,485,26.14004753,91.73097233,327,car,average,3,0,04-10-2016,09:59:00,2016-10-04 09:59:00,2,0
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,04-10-2016,09:59:00,2016-10-04 09:59:00,1,1
11812,Others-CCCPS135a,3883,26.14749943,91.72800489,2802,truck,low,3,0,04-10-2016,09:59:00,2016-10-04 09:59:00,3,1
3940,BHMMBMMBX01,687,20.0000347,78.00000286,485,car,low,3,0,04-10-2016,09:59:00,2016-10-04 09:59:00,2,1
14437,Others-CCCPS8,1322,26.14754886,91.72799519,715,car,low,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00,2,1
2629,BHMEURBRD01,470,26.14901995,91.7395035,430,car,low,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00,2,1
15749,Others-CCCPS98,3103,26.14749998,91.72797778,1142,car,low,4,0,04-10-2016,10:26:00,2016-10-04 10:26:00,2,1
7877,Broad Street,690,26.13795775,91.74099445,642,car,low,4,0,04-10-2016,10:26:00,2016-10-04 10:26:00,2,1
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00,2,1
9189,Others-CCCPS105a,2009,26.14747299,91.72804914,1245,truck,low,4,0,04-10-2016,10:26:00,2016-10-04 10:26:00,3,1
10501,Others-CCCPS119a,2803,26.14754061,91.72797041,525,cycle,low,4,0,04-10-2016,10:26:00,2016-10-04 10:26:00,0,1
5253,BHMNCPHST01,1200,26.14001386,91.73099967,686,car,average,4,0,04-10-2016,10:26:00,2016-10-04 10:26:00,2,0
13125,Others-CCCPS202,2937,26.14749053,91.72799688,1257,car,low,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00,2,1
11813,Others-CCCPS135a,3883,26.14749943,91.72800489,3035,car,low,5,0,04-10-2016,10:26:00,2016-10-04 10:26:00,2,1
17061,Shopping,1920,26.15050395,91.73353109,1324,car,low,4,0,04-10-2016,10:26:00,2016-10-04 10:26:00,2,1
3941,BHMMBMMBX01,687,20.0000347,78.00000286,530,car,average,5,0,04-10-2016,10:26:00,2016-10-04 10:26:00,2,0
6565,BHMNCPNST01,485,26.14004753,91.73097233,351,car,low,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00,2,1
1317,BHMBCCTHL01,387,26.14449459,91.73620513,264,car,low,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00,2,1
17062,Shopping,1920,26.15050395,91.73353109,1387,car,average,5,0,04-10-2016,10:59:00,2016-10-04 10:59:00,2,0
5254,BHMNCPHST01,1200,26.14001386,91.73099967,729,car,average,4,0,04-10-2016,10:59:00,2016-10-04 10:59:00,2,0
13126,Others-CCCPS202,2937,26.14749053,91.72799688,1354,bike,high,7,0,04-10-2016,10:59:00,2016-10-04 10:59:00,1,3
15750,Others-CCCPS98,3103,26.14749998,91.72797778,1210,car,average,5,0,04-10-2016,10:59:00,2016-10-04 10:59:00,2,0
11814,Others-CCCPS135a,3883,26.14749943,91.72800489,3169,car,average,6,0,04-10-2016,10:59:00,2016-10-04 10:59:00,2,0
3942,BHMMBMMBX01,687,20.0000347,78.00000286,573,car,average,4,0,04-10-2016,10:59:00,2016-10-04 10:59:00,2,0
7878,Broad Street,690,26.13795775,91.74099445,675,bike,average,4,0,04-10-2016,10:59:00,2016-10-04 10:59:00,1,0
6566,BHMNCPNST01,485,26.14004753,91.73097233,371,car,high,6,0,04-10-2016,10:59:00,2016-10-04 10:59:00,2,3
14438,Others-CCCPS8,1322,26.14754886,91.72799519,791,car,average,4,0,04-10-2016,10:59:00,2016-10-04 10:59:00,2,0
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,04-10-2016,10:59:00,2016-10-04 10:59:00,3,3
1318,BHMBCCTHL01,387,26.14449459,91.73620513,308,car,average,4,0,04-10-2016,10:59:00,2016-10-04 10:59:00,2,0
10502,Others-CCCPS119a,2803,26.14754061,91.72797041,574,truck,average,4,0,04-10-2016,10:59:00,2016-10-04 10:59:00,3,0
2630,BHMEURBRD01,470,26.14901995,91.7395035,458,cycle,high,6,0,04-10-2016,10:59:00,2016-10-04 10:59:00,0,3
9190,Others-CCCPS105a,2009,26.14747299,91.72804914,1364,bike,average,5,0,04-10-2016,10:59:00,2016-10-04 10:59:00,1,0
17063,Shopping,1920,26.15050395,91.73353109,1428,truck,average,6,0,04-10-2016,11:25:00,2016-10-04 11:25:00,3,0
5255,BHMNCPHST01,1200,26.14001386,91.73099967,765,car,average,5,0,04-10-2016,11:25:00,2016-10-04 11:25:00,2,0
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,04-10-2016,11:25:00,2016-10-04 11:25:00,2,0
14439,Others-CCCPS8,1322,26.14754886,91.72799519,820,truck,average,5,0,04-10-2016,11:25:00,2016-10-04 11:25:00,3,0
13127,Others-CCCPS202,2937,26.14749053,91.72799688,1369,bike,average,6,0,04-10-2016,11:25:00,2016-10-04 11:25:00,1,0
